Source: ACS 5-Year Estimates Public Use Microdata Sample 2020
Weight used: null
"Universe: default universe (usually US)"
"","Age recode (AGEP_RC1)","","","","","","","","",""
"Place of birth (Recode)","Total","Between 0 and 4","Between 5 and 14","Between 15 and 24","Between 25 and 44","Between 45 and 54","Between 55 and 64","Between 65 and 74","Between 75 and 84","Between 85 and Over"
"England","21444","122","661","1183","3879","3680","4425","3710","2597","1187"
"Scotland","3510","11","67","105","528","520","653","756","616","254"
"Northern Ireland (2017 or later)","617","4","11","19","100","111","104","135","96","37"
"Yugoslavia","1607","2","5","13","253","244","319","242","338","191"
"Czech Republic","1579","14","38","106","511","243","176","244","150","97"
"Slovakia","965","6","23","45","374","183","112","118","65","39"
"Bosnia and Herzegovina","4414","12","28","380","1820","977","814","263","97","23"
"Croatia","1931","2","16","78","398","283","353","381","329","91"
"Macedonia","1142","9","23","83","389","198","232","130","69","9"
"Serbia","1793","8","37","122","652","316","267","192","145","54"
"Latvia","1216","3","30","85","348","107","105","125","292","121"
"Lithuania","1613","6","31","130","531","257","178","138","232","110"
"Armenia","3811","22","135","222","1475","660","741","368","123","65"
"Azerbaijan","991","13","29","65","371","158","160","110","68","17"
"Belarus","3092","16","74","213","1281","467","445","286","213","97"
"Georgia","982","19","50","86","366","172","159","84","33","13"
"Moldova","2101","20","89","212","1004","236","250","194","61","35"
"Russia","18895","123","1222","3031","6406","2464","2262","1742","1113","532"
"Ukraine","16125","85","569","1613","5741","2384","2270","1538","1241","684"
"USSR","2863","1","1","19","734","560","608","542","275","123"
"Europe (2017 or later)","394","4","5","19","129","67","68","48","40","14"
"Kosovo (2017 or later)","461","8","24","56","229","63","53","25","3","0"
"Montenegro","636","0","8","43","189","147","139","69","36","5"
"Other Europe, Not Specified","1540","11","37","94","389","165","191","248","269","136"
"Afghanistan","4515","285","639","397","1757","557","422","309","104","45"
"Bangladesh","10950","96","581","1358","4348","2145","1531","657","198","36"
"Bhutan","1586","8","24","66","916","266","137","106","51","12"
"Myanmar","5854","49","287","720","2241","994","749","490","249","75"
"Cambodia","6925","53","130","322","1876","1756","1464","892","326","106"
"China","106298","708","4768","15704","32943","18270","14202","10834","5861","3008"
"Cyprus (2016 or earlier)","101","0","2","9","12","19","28","19","10","2"
"Hong Kong","13186","82","285","737","3251","2673","3759","1768","475","156"
"India","110929","1512","4827","7213","53409","18154","11702","9125","4036","951"
"Indonesia","5041","16","115","495","1640","924","743","603","348","157"
"Iran","18160","49","220","730","4854","3078","4278","2906","1444","601"
"Iraq","8703","98","828","892","2944","1451","1141","773","425","151"
"Israel","7865","168","672","678","2511","1249","1161","984","359","83"
"Japan","26894","688","1792","2434","6584","5091","4935","3008","1434","928"
"Jordan","3529","70","253","389","1127","714","582","268","93","33"
"Korea","51653","377","1866","4515","15379","10579","9078","5807","3096","956"
"Kazakhstan","1645","17","183","382","614","184","139","85","34","7"
"Kyrgyzstan (2017 or later)","409","10","42","45","188","51","48","15","8","2"
"Kuwait","1411","20","77","232","616","342","108","13","3","0"
"Laos","7306","51","66","107","1975","2198","1645","839","296","129"
"Lebanon","6107","39","151","308","1545","1373","1379","772","407","133"
"Malaysia","3786","81","297","391","1143","746","700","296","117","15"
"Mongolia (2017 or later)","481","4","32","104","223","83","26","8","1","0"
"Nepal","5719","72","552","1180","2777","619","315","156","40","8"
"Pakistan","16807","155","814","1842","6180","3140","2714","1460","417","85"
"Philippines","101656","521","2999","6926","26806","20182","20025","15287","6764","2146"
"Saudi Arabia","3154","110","303","780","1652","140","127","37","5","0"
"Singapore","2022","53","221","378","608","310","265","123","53","11"
"Sri Lanka","2477","19","80","174","905","496","391","265","123","24"
"Syria","4358","42","395","377","1234","760","696","481","263","110"
"Taiwan","20848","79","368","1132","5751","4055","4972","3295","974","222"
"Thailand","12110","122","717","1323","4742","1760","1462","1558","384","42"
"Turkey","6557","96","292","553","2589","1292","924","458","222","131"
"United Arab Emirates","1167","65","232","311","514","25","11","5","1","3"
"Uzbekistan","2723","32","208","298","1169","428","318","174","77","19"
"Vietnam","64002","309","1485","4075","16647","16127","12865","8025","3392","1077"
"Yemen","2712","71","372","533","1088","276","212","110","32","18"
"Asia","2221","12","58","194","677","388","343","293","196","60"
"South Central Asia, Not Specified","546","4","39","80","239","75","60","33","9","7"
"Other Asia, Not Specified","1301","45","138","283","384","153","141","93","46","18"
"Bermuda","836","6","36","39","159","150","257","123","48","18"
"Canada","50489","480","1827","3448","11463","7908","9796","8539","4769","2259"
"Mexico","419752","2776","10423","32717","163659","95311","62403","33130","14528","4805"
"Belize","2059","5","61","162","499","435","424","285","139","49"
"Costa Rica","4053","41","192","361","1326","777","655","426","210","65"
"El Salvador","49925","479","1929","4912","19476","10599","7462","3437","1173","458"
"Guatemala","35105","403","2386","4841","15428","5699","3632","1853","640","223"
"Honduras","22444","353","1623","3059","10276","3418","2175","994","389","157"
"Nicaragua","10004","63","238","434","3407","2096","1930","1102","530","204"
"Panama","6556","21","110","395","1455","1346","1324","1190","532","183"
"Antigua and Barbuda","832","5","20","37","160","160","187","186","64","13"
"Bahamas","1434","11","65","192","470","326","194","87","60","29"
"Barbados","2309","6","26","65","401","442","533","470","264","102"
"Cuba","52268","193","1274","3100","11346","9635","9965","7768","5957","3030"
"Dominica","1168","2","47","131","332","229","212","141","53","21"
"Dominican Republic","39922","331","2212","4425","13108","7433","6441","3857","1521","594"
"Grenada","1495","9","19","61","317","312","377","252","113","35"
"Haiti","23358","189","1053","2322","6770","4203","4311","2679","1315","516"
"Jamaica","28853","149","744","2183","7675","5667","5716","3914","2048","757"
"St. Kitts-Nevis (2017 or later)","414","1","10","18","91","60","132","71","27","4"
"St. Lucia","898","4","12","84","296","201","163","103","29","6"
"St. Vincent and the Grenadines","942","3","13","50","214","183","233","160","61","25"
"Trinidad and Tobago","9776","36","100","382","2493","2089","2186","1583","721","186"
"West Indies","884","4","18","42","167","154","176","186","90","47"
"Caribbean, Not Specified","1329","6","56","147","293","210","253","218","103","43"
"Argentina","8697","49","244","613","2509","1726","1551","1095","654","256"
"Bolivia","3261","30","103","323","1100","615","559","338","145","48"
"Brazil","20375","266","1043","2010","9040","3824","2631","1026","406","129"
"Chile","4611","56","146","280","1342","894","843","606","327","117"
"Colombia","31810","161","962","2668","9773","6552","6115","3355","1708","516"
"Ecuador","16321","96","463","1370","5830","3254","2672","1551","825","260"
"Guyana","12168","59","230","733","2967","2575","2728","1879","768","229"
"Paraguay","922","7","27","132","344","145","123","95","40","9"
"Peru","18221","106","452","1315","5564","3845","3522","2069","1008","340"
"Uruguay","2015","13","33","140","574","443","392","250","145","25"
"Venezuela","15124","240","1214","1762","6005","2656","1917","925","308","97"
"South America","450","2","8","24","118","86","82","72","48","10"
"Americas, Not Specified","723","4","18","61","262","128","112","78","37","23"
"Algeria","1082","7","34","48","458","218","181","75","43","18"
"Cameroon","2351","27","159","315","1147","373","199","101","24","6"
"Cabo Verde","1667","13","68","192","552","300","273","137","89","43"
"Congo","945","21","97","255","365","104","61","26","12","4"
"Egypt","9105","114","692","885","2755","1401","1372","1128","576","182"
"Ethiopia","9194","157","1063","1149","3512","1699","978","472","130","34"
"Eritrea","1555","12","90","146","538","327","267","131","37","7"
"Gambia","526","2","20","83","217","131","50","21","2","0"
"Ghana","6325","56","364","725","2416","1218","929","497","108","12"
"Guinea","568","4","37","96","217","120","69","17","7","1"
"Ivory Coast (2017 or later)","704","3","40","128","295","135","84","18","0","1"
"Kenya","5177","90","470","894","1943","787","588","314","82","9"
"Liberia","2844","24","147","375","1053","492","437","212","83","21"
"Libya","765","10","60","43","228","149","198","44","22","11"
"Morocco","3771","39","128","189","1547","759","654","292","110","53"
"Nigeria","13148","167","928","1549","4572","2455","2186","979","256","56"
"Rwanda (2017 or later)","426","22","63","139","118","51","25","7","0","1"
"Senegal","936","10","46","91","357","246","139","37","9","1"
"Sierra Leone","1543","5","68","131","557","286","253","192","29","22"
